anio,cancion,artista,generos_artista,popularidad,fecha_lanzamiento
2010,976-EVIL,Deftones,"nu metal, alternative metal, rap metal, shoegaze, rock",65,2010-04-30
2010,Un Soplo Mas,Exceso,,27,2010-12-08
2010,Estrógeno,Caramelos De Cianuro,"latin rock, rock en español",44,2010
2010,The Ecstacy Once Told,The Dolly Rocker Movement,"neo-psychedelic, psychedelic rock, space rock, stoner rock",55,2010-02-22
2010,Los habitantes,Bunbury,"rock en español, latin rock, mexican rock",46,2010-02-16
2010,Feel Good Hit Of The Summer,Queens of the Stone Age,"stoner rock, alternative rock",50,2010-01-01
2010,This Is Love This Is Life,Bon Jovi,"glam metal, rock",41,2010-01-01
2010,Solitude Is Bliss,Tame Impala,"neo-psychedelic, indie",60,2010-05-21
2010,Ready to Start,Arcade Fire,"indie rock, baroque pop",50,2010-08-02
2010,El marinero borracho - The Drunken Sailor,Celtas Cortos,"celtic rock, celtic",26,2010-08-31
2010,"""Heroes"" - Live",David Bowie,"glam rock, art rock",47,2010-01-25
2010,The Suburbs,Arcade Fire,"indie rock, baroque pop",56,2010-08-02
2010,Bang A Gong (Get It On) (Electric Version),T. Rex,"glam rock, proto-punk",48,2010-07-01
2010,Alter Ego,Tame Impala,"neo-psychedelic, indie",62,2010-05-21
2010,You And Your Heart,Jack Johnson,surf rock,54,2010-01-01
2010,It Is Not Meant To Be,Tame Impala,"neo-psychedelic, indie",59,2010-05-21
2010,Wherever you are,ONE OK ROCK,"j-rock, j-pop",63,2010-06-09
2010,Africa,TOTO,"yacht rock, soft rock",49,2010-03-01
2010,No Decoder,Yogi Lang,"progressive rock, art rock",53,2010-11-05
2010,Lo que más te gustó de mí,Bunbury,"rock en español, latin rock, mexican rock",49,2010-02-16
2010,Highway to Hell,AC/DC,"rock, hard rock, classic rock, rock and roll",52,2010-04-29
2010,"Me voy, me voy",Gerardo Morán,"chicha, electrocumbia, cumbia",46,2010-05-02
2010,I Ran (So Far Away) - Single Edit,A Flock Of Seagulls,"new wave, synthpop",53,2010-03-01
2010,Carry on Wayward Son,Kansas,"classic rock, progressive rock, aor",60,2010
2010,Traguito Bueno,Gerardo Morán,"chicha, electrocumbia, cumbia",46,2010-05-16
2010,Say You'll Haunt Me,Stone Sour,"post-grunge, alternative metal, nu metal",63,2010-09-03
2010,Still Worth Fighting For,My Darkest Days,,59,2010-09-21
2010,Fox On The Run,Sweet,glam rock,44,2010-05-01
2010,La Bomba Loca,Gustavo Cordera,argentine rock,51,2010-08-18
2010,No Voy a Llorar,Gerardo Morán,"chicha, electrocumbia, cumbia",39,2010-05-16
2010,Fiction,Avenged Sevenfold,"metal, alternative metal",57,2010-07-25
2010,Quisiera Saber (with Natalia Lafourcade),Los Daniels,"rock en español, mexican rock, mexican indie",61,2010-11-09
2010,Love Fade,Tamaryn,"shoegaze, dream pop",51,2010-09-21
2010,HEKIREKI - 2010,LAST ALLIANCE,"j-rock, anime, visual kei",47,2010-10-27
2010,Garbage Truck,Sex Bob-Omb,,57,2010-01-01
2010,Prince,Deftones,"nu metal, alternative metal, rap metal, shoegaze, rock",57,2010-04-30
2010,Infierno VIP,Caramelos De Cianuro,"latin rock, rock en español",39,2010
2010,Pastillitas del Olvido,Tan Bionica,argentine rock,57,2010-01-01
2010,We Are One,12 Stones,"christian rock, post-grunge, christian alternative rock",50,2010-01-01
2010,Porn Star Dancing,My Darkest Days,,69,2010-01-01
2010,Eye In the Sky,The Alan Parsons Project,"progressive rock, classic rock",41,2010-03-01
2010,Lucidity,Tame Impala,"neo-psychedelic, indie",54,2010-05-21
2010,This Place Is Death,Deftones,"nu metal, alternative metal, rap metal, shoegaze, rock",59,2010-04-30
2010,Time Bomb,Iration,"reggae rock, reggae, roots reggae",51,2010
2010,Brotherhood Of Man,Motörhead,"heavy metal, metal, speed metal, hard rock, rock",43,2010-11-08
