Uri,Nombre_Cancion_o_Album,Artista,Genero_Musical_Seed,Cancion_o_Album_Tipo,Año_Lanzamiento
spotify:track:6RAbaZAbLZMBCqLgJX7lij,Castillos De Naipes,Lori Meyers,indie,track,2010
spotify:track:5VWRCDKukSgYRAhXMriSCu,Modern Man,Arcade Fire,indie,track,2010
spotify:track:4tFOkEWNXiheSDnURpmGTp,Cousins,Vampire Weekend,indie,track,2010
spotify:track:2tKMcFgiaLa8GGeUUK2UAU,King of Spain,The Tallest Man On Earth,indie,track,2010
spotify:track:60aWOhenofxdFViDXn3lfp,Bombay,El Guincho,indie,track,2010
spotify:track:4z4znMSHl2zPzo82Lyo2KR,Bipolaridad,Señor Mostaza,indie,track,2010
spotify:track:5uWLuFDmMs1r44KFfUwWiA,Thinking Of You,Lord Echo,indie,track,2010
spotify:track:6hQKqpIgAsN0SucZXa7zQr,For You,Angus & Julia Stone,indie,track,2010
spotify:track:0MY5Nr265JNQP5rIFKpUhC,Magia Electroviral,Supersubmarina,indie,track,2010
spotify:track:23gau0wzMhVICKk7S0cEYS,This Is the Life,Two Door Cinema Club,indie,track,2010
spotify:track:6lRJqlbbsSAyoN67hVsF8A,Leave,Whirr,indie,track,2010
spotify:track:10gFlMGU79vEwN55q6vG0k,Ley de gravitación universal,Miss Caffeina,indie,track,2010
spotify:track:0Ih55K62jZIbeTysGHJkW0,Little Girl (feat. Julian Casablancas),Danger Mouse,indie,track,2010
spotify:track:1il9WxKn1QFpQkMVWQnulB,Quiereme,Luis Eduardo Aute,indie,track,2010
spotify:track:4Sx182teh6ZFTko3z4e0Jj,Hear the Noise That Moves So Soft and Low,James Vincent McMorrow,indie,track,2010
spotify:track:1k4OsQujxXPLij0ZsTFlMx,"I'll Try Anything Once - Live From Electric Lady Studios for WRXP, New York",Julian Casablancas,indie,track,2010
spotify:track:6kblAEj0T0312fv5QWsXzo,Congratulations,MGMT,indie,track,2010
spotify:track:6MjCWFinaxe9hTjs7EgsgQ,Draw Your Swords,Angus & Julia Stone,indie,track,2010
spotify:track:2a2MbiJN2skOxohykOVcss,Solitude Is Bliss,Tame Impala,indie,track,2010
spotify:track:2qL8YI4oI6MZEyrsbRGwSF,Nuevos Tiempos,Lori Meyers,indie,track,2010
spotify:track:6eQYZ57P28uc8caJagxYcZ,Shape of Love,Passenger,indie,track,2010
spotify:track:4I1BlAeZK4UBSCKoaz8vQS,If I Had a Boat,James Vincent McMorrow,indie,track,2010
spotify:track:1RHuwBsCD94VPYcbInGe8l,Lisboa,Miss Caffeina,indie,track,2010
spotify:track:4EFhl3W8FRdVVnQcKW6sPP,Cara de Poker,IZAL,indie,track,2010
spotify:track:5FcLey1TteEHktzvMcTk7S,The Dreamer,The Tallest Man On Earth,indie,track,2010
spotify:track:2aydv0bsXbIZg3Sk2S6u86,Take Care,Beach House,indie,track,2010
spotify:track:1YyXJmUsPOIaBoBMHCOeBB,Centro De Atencion,Supersubmarina,indie,track,2010
spotify:track:10NKsfeOzLXqyOtmMEHHu9,Santa Monica Dream,Angus & Julia Stone,indie,track,2010
spotify:track:5DmFPew56isHZYQOQHsl7b,Comets,Cocoon,indie,track,2010
spotify:track:7iGAkO3j525uGPyrd93VX0,Cigarettes in the Theatre,Two Door Cinema Club,indie,track,2010
spotify:track:1yEi7Cjf4nNhkEEKDkFcre,Teletransporte,IZAL,indie,track,2010
spotify:track:2Fpf5a5fGDWSHNj1iIPc5W,We Don't Eat,James Vincent McMorrow,indie,track,2010
spotify:track:173PnvZh4grHTf31DPXDbJ,I Ran (So Far Away) - Single Edit,A Flock Of Seagulls,indie,track,2010
spotify:track:5aKu4pCxgYAXeCIVMTtUD0,Rumba En Atmósfera Cero,Lori Meyers,indie,track,2010
spotify:track:155O8cTo0xTQZo8ZyhRmNe,La Necrológica de un Amorío,Antílopez,indie,track,2010
spotify:track:0p6JvwRK6RqC1SyRVKP6cN,Love Fade,Tamaryn,indie,track,2010
spotify:track:0U850y9NvDI79dE89JVv4G,Don't Look Back in Anger,Oasis,indie,track,2010
spotify:track:17q7Kz4IRJWFEFiDrO9bzz,Trash,Alex G,indie,track,2010
spotify:track:1OtJYOkuuv9amr4hBeS14o,Little Lady,General Elektriks,indie,track,2010
spotify:track:5GcxlqkrTuIm7fZVdYGp0U,Divisive,We Have Band,indie,track,2010
spotify:track:7oYsHNe2STZQqHYCmNr1P9,Breaking Hearts,James Vincent McMorrow,indie,track,2010
spotify:track:5MNJrHcwYlZSWEvn4zuYlW,Condicional Hipotética,Lori Meyers,indie,track,2010
spotify:track:4ZGBUBso8PeNxF9Qt1QGIV,Noctiluca,Jorge Drexler,indie,track,2010
spotify:track:3BRfgsKjcakny2wCYfZrvz,Chinatown,Wild Nothing,indie,track,2010
spotify:track:5gW1MwRuuPSR57HrS9fJ5E,The Wild Hunt,The Tallest Man On Earth,indie,track,2010
spotify:track:0Cn6FrUO2gpFpfjiCz1q3c,"Eat That Up, It's Good For You",Two Door Cinema Club,indie,track,2010
spotify:track:1FsPinqSsFnPIKXfm8SHJM,Vital Signs - Tame Impala Cover,Midnight Juggernauts,indie,track,2010
spotify:track:3t5WYobcxX4nR5wgtoPdX1,July Flame,Laura Veirs,indie,track,2010
spotify:track:3S3ET4OgClctpND30pOTqp,Deep Blue,Arcade Fire,indie,track,2010
spotify:track:3FmLbfanuf7XgtBypPWWcS,They'll Only Miss You When You Leave,Carissa's Wierd,indie,track,2010
spotify:track:7qRit2UvXm372Mbd2MBKMV,Romance Is Boring (2020 Remaster),Los Campesinos!,indie,track,2010
spotify:track:4s9PCsU3wUBim5BMyzTdgp,Ignorant Piece of Shit,Carissa's Wierd,indie,track,2010
spotify:track:3uXkVGwMiAvcoyNIOyuX4O,Tres mil millones de latidos,Jorge Drexler,indie,track,2010
spotify:track:3DZfp14PTnqbFToBnCztfW,Meet the Frownies,Mr Twin Sister,indie,track,2010
spotify:track:3RcAhyvWMuM03yiYD4bgCG,Speaking in Tongues (feat. David Byrne),Arcade Fire,indie,track,2010
spotify:track:4Lt0ESrn1BJog7BEvM36sM,Yellow Brick Road,Angus & Julia Stone,indie,track,2010
spotify:track:1HJ9WGt2fU1a6GFaRjIHFy,Hasta Que Te Hartes,Julio de la Rosa,indie,track,2010
spotify:track:2s6EnALYuQbEgB1C4mfUCO,Welcome Home,Radical Face,indie,track,2010
spotify:track:4sfxlJnfTMhlLjhbuRJtqm,The Water,Johnny Flynn,indie,track,2010
spotify:track:5KOUVUrS3viGDfRLKSpPNc,Follow You Down to the Red Oak Tree,James Vincent McMorrow,indie,track,2010
spotify:track:7fV3vMnPmwkqOVSEEiDTmC,You Came Out,We Have Band,indie,track,2010
spotify:track:6jjQElamrQ6NdYnb1MfCvh,Mecánica espiral,Miss Caffeina,indie,track,2010
spotify:track:4VF0FEPCjuRFDMMKW5lS91,The Highwayman (feat. Mark Knopfler),Jimmy Webb,indie,track,2010
spotify:track:5yjp6PlxuXHdP0V47fMSae,Simulacro,Rafael Berrio,indie,track,2010
spotify:track:1k7lK8tjU5BPsXez7WEpg0,Revival,Deerhunter,indie,track,2010
spotify:track:0rkKQHAGMaRoEbcR3sFknr,Walk in the Park,Beach House,indie,track,2010
spotify:track:6K5waU14PdvY4fatne8kyq,White Sky,Vampire Weekend,indie,track,2010
spotify:track:6EfXf9OhZ64J6D3ssVCTon,The One You Love,Passenger,indie,track,2010
spotify:track:6mzSjhOF5CaH97ySiSzsot,Suburban War,Arcade Fire,indie,track,2010
spotify:track:6UxuobFOEqndZcTD6jjmAP,Zebra,Beach House,indie,track,2010
spotify:track:6aayVb6veJ48dn4RqeWQN5,Heaven's on Fire,The Radio Dept.,indie,track,2010
spotify:track:2WzSuITNfMfbI5ilqZEyBS,Enjoy the Silence,Nada Surf,indie,track,2010
spotify:track:6uaWRTGqadohCbGwo9EVSD,Clementine,Sarah Jaffe,indie,track,2010
spotify:track:4224tsPgiIlzm5p8n83Bon,Horchata,Vampire Weekend,indie,track,2010
spotify:track:5iZYkQYyE0HZHeuojzj2De,Te Odio - Feat. Santi Balmes,Los Seis Días,indie,track,2010
spotify:track:4cGFzmrgPty6VpSXfZus9Z,Explícame,Lori Meyers,indie,track,2010
spotify:track:10Ss7lQuGNNVshkN507X2J,TV,Alex G,indie,track,2010
spotify:track:3hF4gQLaQCw3kVGqXE1GLS,N=1,Miss Caffeina,indie,track,2010
spotify:track:4XKpSYvEdZi6GQPM7ADJcK,When I Grow Up,First Aid Kit,indie,track,2010
spotify:track:22G4uNkH7RvuTcOQ7YzxvD,To the Grain,Junip,indie,track,2010
spotify:track:1U5VuBNupSdGTDBUWLt01N,"Gold - 12"" Mix",Spandau Ballet,indie,track,2010
spotify:track:3NXjRgj22vkWCp5yzjU4af,Giving Up the Gun,Vampire Weekend,indie,track,2010
